severity,file,line,category,key,detail
review,translations_zh.csv,1885,CSV 英文残留,AUTO_RESOURCES_ASSETS_222BD4C,"残留英文：rate, actionName, damage"
review,translations_zh.csv,1899,CSV 英文残留,AUTO_RESOURCES_ASSETS_222D310,"残留英文：actionName, damage"
review,translations_zh.csv,1917,CSV 英文残留,AUTO_RESOURCES_ASSETS_222EFB0,"残留英文：embedEffect, embedTags"
review,translations_zh.csv,1918,CSV 英文残留,AUTO_RESOURCES_ASSETS_222F0F4,"残留英文：embedEffect, embedTags"
review,translations_zh.csv,1925,CSV 英文残留,AUTO_RESOURCES_ASSETS_222F890,"残留英文：rate, actionName, damage"
review,translations_zh.csv,1927,CSV 英文残留,AUTO_RESOURCES_ASSETS_222FAEC,"残留英文：actionName, damage"
review,translations_zh.csv,1932,CSV 英文残留,AUTO_RESOURCES_ASSETS_222FF48,"残留英文：embedEffect, embedTags"
review,translations_zh.csv,1944,CSV 英文残留,AUTO_RESOURCES_ASSETS_22316B8,"残留英文：rate, actionName, damage"
review,translations_zh.csv,1946,CSV 英文残留,AUTO_RESOURCES_ASSETS_2231A68,"残留英文：actionName, damage"
review,translations_zh.csv,1948,CSV 英文残留,AUTO_RESOURCES_ASSETS_2231DD4,"残留英文：actionName, damage"
review,translations_zh.csv,1964,CSV 英文残留,AUTO_RESOURCES_ASSETS_2233360,"残留英文：rate, actionName, damage"
review,translations_zh.csv,1992,CSV 英文残留,AUTO_RESOURCES_ASSETS_2237850,"残留英文：rate, damage, actionName"
review,translations_zh.csv,2018,CSV 英文残留,AUTO_RESOURCES_ASSETS_223AE24,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2023,CSV 英文残留,AUTO_RESOURCES_ASSETS_223B618,"残留英文：Edens, Touch"
review,translations_zh.csv,2030,CSV 英文残留,AUTO_RESOURCES_ASSETS_223C3F4,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2034,CSV 英文残留,AUTO_RESOURCES_ASSETS_223CF24,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2040,CSV 英文残留,AUTO_RESOURCES_ASSETS_223DE00,"残留英文：actionName, damage"
review,translations_zh.csv,2043,CSV 英文残留,AUTO_RESOURCES_ASSETS_223E770,"残留英文：tallyThreshold, actionName, damage"
review,translations_zh.csv,2060,CSV 英文残留,AUTO_RESOURCES_ASSETS_2240504,"残留英文：tallyThreshold, embedEffect, embedTags"
review,translations_zh.csv,2102,CSV 英文残留,AUTO_RESOURCES_ASSETS_22441B4,"残留英文：rate, actionName, damage"
review,translations_zh.csv,2120,CSV 英文残留,AUTO_RESOURCES_ASSETS_22457E4,"残留英文：chance, actionName, damage"
review,translations_zh.csv,2129,CSV 英文残留,AUTO_RESOURCES_ASSETS_2246970,"残留英文：xx, xx"
review,translations_zh.csv,2130,CSV 英文残留,AUTO_RESOURCES_ASSETS_22469CC,"残留英文：xx, xx"
review,translations_zh.csv,2145,CSV 英文残留,AUTO_RESOURCES_ASSETS_2248050,"残留英文：br, xx"
review,translations_zh.csv,2178,CSV 英文残留,AUTO_RESOURCES_ASSETS_224BBB8,"残留英文：chance, actionName, damage"
